record_id,first_name,last_name,email,title,company,job_level,job_persona,phone,account_id,industry,employee_count,zi_industry,zi_employee_count,created_date,lead_source,lead_status,is_current_mql,mql_date,email_opt_out,email_bounced,no_longer_with_company,is_converted,converted_contact_id,free_email_known,actual_free_email,mkto_lead_score,mql_cycle_count,is_disqualified,dq_reason,dq_date,entity_type,lineage_type,lead_origin_id,mkto_contact_score_c,has_lead_origin,scoring_person_id,account_name,domain,named_account,is_icp_qualified,account_do_not_contact,account_intent_score,country,annual_revenue,flag_duplicate_email,flag_shared_email,flag_broken_conversion_link,flag_orphan_contact,flag_opted_out,flag_email_bounced,flag_no_longer_with_company,flag_non_prospect,flag_do_not_contact,flag_free_email_leakage,flag_missing_account,flag_missing_title,flag_missing_phone,flag_missing_industry,hard_blocker,hard_blocker_reasons,dq_flag_count,dq_flags,engagement_count,automation_events,last_engagement_date,first_engagement_date,days_since_last_engagement,sent_events,automation_share,automation_inflated_flag,meaningful_count,meaningful_30d,meaningful_90d,eng_event,eng_webinar,eng_content_syndication,eng_telemarketing,eng_email,eng_advertisement,raw_engagement_signal,icp_flag,named_account_flag,employee_fit,segment,segment_multiplier,account_fit_raw,account_fit_signal,job_level_score,job_persona_score,profile_fit_signal,engagement_score,account_fit_score,profile_fit_score,final_score,engagement_weight,account_fit_weight,profile_fit_weight,confidence,score_explanation,tier,tier_sort,bdr_action,is_suppressed,action_tag
L00014,Robert,Sanchez,sales@enterprisetech.com,VP of Something,Vertex Networks Group,VP,Technical Buyer,+1-555-8388,ACC0064,Energy,100.0,,,2024-01-01,Advertisement,MQL,True,,False,False,False,False,,False,False,36.0,0.0,False,,,Lead,Orphan Lead,,,,L00014,Vertex Networks,vertexnetworks.com,True,True,False,57.0,United States,12.6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,2,"duplicate_email, shared_email",22.0,5.0,2026-05-11 00:00:00,2023-02-23 00:00:00,18.0,6.0,0.2272727272727272,False,16.0,4.0,8.0,1889.8815748423096,1319.5079107728943,837.8352982565013,1.920136726072661e-09,0.0094674362904891,9.831100037492035e-07,4047.234252293025,True,True,0.65,L1,0.9,90.45,81.405,0.85,0.85,0.85,100.0,81.4,85.0,95.7,0.75,0.15,0.1,Medium,4 meaningful engagements in last 30d; ICP industry (Energy); named account; segment L1,Call Now,0,Priority outreach — call or email within 24h,False,Call / Email
L00500,Michael,Nguyen,michael.nguyen@gmail.com,Individual Contributor of Something,Forge Ventures & Co,Individual Contributor,Technical Buyer,+1-555-2835,ACC0042,Telecommunications,25000.0,,,2024-01-01,Trade Show,Disqualified,False,,False,False,False,True,C00231,True,True,0.0,0.0,False,,,Lead,Converted Lead - linked,,,,C00231,Forge Ventures,forgeventures.com,True,True,False,79.6,Canada,10488.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,17.0,7.0,2026-05-29 00:00:00,2023-05-10 00:00:00,0.0,9.0,0.4117647058823529,False,8.0,3.0,3.0,3000.0,5.474071513319432e-07,1.3693551480734806e-05,0.0,2.109921790887797,1.0782996098998023e-06,3002.109937110146,True,True,0.65,L1,0.9,92.71,83.439,0.3,0.85,0.575,100.0,83.4,57.5,93.3,0.75,0.15,0.1,High,3 meaningful engagements in last 30d; ICP industry (Telecommunications); named account; segment L1,Call Now,0,Do not action — record converted to contact C00231 (work the contact record instead),True,Converted
C00231,Michael,Nguyen,michael.nguyen@gmail.com,Individual Contributor of Something,,Individual Contributor,Technical Buyer,+1-555-2835,ACC0042,Telecommunications,25000.0,,,2022-10-31,,,False,,True,False,False,False,,False,False,,,,,,Contact,Converted Contact,L00500,16.8,True,C00231,Forge Ventures,forgeventures.com,True,True,False,79.6,Canada,10488.4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,17.0,7.0,2026-05-29 00:00:00,2023-05-10 00:00:00,0.0,9.0,0.4117647058823529,False,8.0,3.0,3.0,3000.0,5.474071513319432e-07,1.3693551480734806e-05,0.0,2.109921790887797,1.0782996098998023e-06,3002.109937110146,True,True,0.65,C1,1.0,92.71,92.71,0.3,0.85,0.575,100.0,92.7,57.5,91.8,0.6,0.25,0.15,High,3 meaningful engagements in last 30d; ICP industry (Telecommunications); named account; segment C1,Call Now,0,"Do not email — call or engage at event only (opted out, non-email signal present) | Note: opted out — no email",False,Call only
L00134,Barbara,Davis,eanderson@unknown.com,Individual Contributor of Something,Delphi Labs,Individual Contributor,,+1-555-7733,ACC0013,Healthcare,7500.0,,,2024-01-01,Event,MQL,True,2023-01-17,True,False,False,True,C00290,False,False,61.0,4.0,False,,,Lead,Converted Lead - linked,,,,C00290,Delphi Labs,delphilabs.com,True,True,False,99.3,Australia,2455.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,21.0,12.0,2026-05-15 00:00:00,2023-04-28 00:00:00,14.0,13.0,0.5714285714285714,False,8.0,1.0,2.0,2170.903856160567,568.3937124413993,3.8731212442218594e-05,0.0,4.181496978958602e-07,0.0,2739.2976077513285,True,True,1.0,L1,0.9,99.93,89.93700000000001,0.3,0.0,0.15,100.0,89.9,15.0,90.0,0.75,0.15,0.1,High,last engaged 14d ago; ICP industry (Healthcare); named account; segment L1,Call Now,0,Do not action — record converted to contact C00290 (work the contact record instead),True,Converted
L00173,Edward,Hernandez,ehernandez@delphilabs.com,Individual Contributor of Something,Delphi Labs & Co,Individual Contributor,,+1-555-1908,ACC0013,Healthcare,7500.0,,,2024-01-01,Webinar,Working,False,,False,False,False,True,C00181,False,False,96.0,0.0,True,Duplicate,2022-12-30,Lead,Converted Lead - linked,,,,C00181,Delphi Labs,delphilabs.com,True,True,False,99.3,Australia,2455.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,14.0,0.0,2026-05-17 00:00:00,2023-04-02 00:00:00,12.0,5.0,0.0,False,9.0,2.0,4.0,1607.6601938044394,757.8582832551991,148.10975522865644,6.004098376443533e-08,1.2103503888193328e-06,0.0,2513.6282335586866,True,True,1.0,L1,0.9,99.93,89.93700000000001,0.3,0.0,0.15,100.0,89.9,15.0,90.0,0.75,0.15,0.1,High,2 meaningful engagements in last 30d; ICP industry (Healthcare); named account; segment L1,Call Now,0,Do not action — record converted to contact C00181 (work the contact record instead),True,Converted
L00589,Laura,Rivera,lrivera@meridianventures.com,C-Level of Something,Meridian Ventures Group,C-Level,Financial Buyer,+1-555-7283,ACC0024,Manufacturing,500.0,,,2024-01-01,Employee Referral,Disqualified,False,,True,False,False,True,C00201,False,False,22.0,0.0,False,,,Lead,Converted Lead - linked,,,,C00201,Meridian Ventures,meridianventures.com,True,False,False,66.4,United States,131.6,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,4.0,0.0,2026-05-07 00:00:00,2023-10-22 00:00:00,22.0,0.0,0.0,False,4.0,1.0,2.0,1203.0250360821165,0.0,296.2195104573129,0.0,0.0,0.0,1499.2445465394294,False,True,1.0,L1,0.9,46.64,41.976,1.0,0.7,0.85,100.0,42.0,85.0,89.8,0.75,0.15,0.1,High,last engaged 22d ago; named account; segment L1,Call Now,0,Do not action — record converted to contact C00201 (work the contact record instead),True,Converted
L00451,Sandra,Wilson,sandra.wilson@gmail.com,VP of Something,,VP,Technical Buyer,+1-555-6946,ACC0056,Manufacturing,1500.0,,,2024-01-01,Cold Call,Disqualified,False,,False,False,False,True,C00217,True,True,79.0,0.0,False,,,Lead,Converted Lead - linked,,,,C00217,Fusion Networks,fusionnetworks.com,True,False,False,47.0,United States,509.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,4.0,1.0,2026-05-18 00:00:00,2023-05-18 00:00:00,11.0,1.0,0.25,False,3.0,2.0,2.0,775.5723809168671,629.9605249474366,0.0,0.0,0.0,0.0,1405.5329058643038,False,True,1.0,L1,0.9,44.7,40.23,0.85,0.85,0.85,99.9690639683771,40.2,85.0,89.5,0.75,0.15,0.1,High,2 meaningful engagements in last 30d; named account; segment L1,Call Now,0,Do not action — record converted to contact C00217 (work the contact record instead),True,Converted
L00324,Jason,Campbell,hello@sdrlists.com,,Radiant Dynamics & Co,Individual Contributor,,+1-555-1781,ACC0015,Software,5000.0,,,2023-10-14,Partner Referral,MQL,True,2023-03-10,False,False,False,True,C00174,False,False,1.0,2.0,False,,,Lead,Converted Lead - linked,,,,C00174,Radiant Dynamics,radiantdynamics.com,True,True,False,12.7,United States,1293.3,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2,"duplicate_email, missing_title",18.0,0.0,2026-05-07 00:00:00,2023-04-07 00:00:00,22.0,6.0,0.0,False,12.0,6.0,6.0,1804.537554123175,548.412489847313,1.045374244739652e-07,2.843909805041762e-09,0.0,0.0,2352.9500440778693,True,True,1.0,L1,0.9,91.27,82.143,0.3,0.0,0.15,100.0,82.1,15.0,88.8,0.75,0.15,0.1,Medium,6 meaningful engagements in last 30d; ICP industry (Software); named account; segment L1,Call Now,0,Do not action — record converted to contact C00174 (work the contact record instead),True,Converted
L00567,Michael,Johnson,hello@sdrlists.com,Individual Contributor of Something,Umbra Systems Ltd,Individual Contributor,,+1-555-6353,ACC0069,Financial Services,25000.0,,,2024-01-01,Partner Referral,Working,False,,False,False,False,False,,False,False,25.0,0.0,False,,,Lead,Orphan Lead,,,,L00567,Umbra Systems,umbrasystems.com,True,True,False,10.0,United States,15899.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,9.0,0.0,2026-05-07 00:00:00,2023-04-07 00:00:00,22.0,3.0,0.0,False,6.0,3.0,3.0,1203.0250360821165,274.2062449236565,5.22687122369826e-08,1.421954902520881e-09,0.0,0.0,1477.2312810594635,True,True,0.65,L1,0.9,85.75,77.175,0.3,0.0,0.15,100.0,77.2,15.0,88.1,0.75,0.15,0.1,High,3 meaningful engagements in last 30d; ICP industry (Financial Services); named account; segment L1,Call Now,0,Priority outreach — call or email within 24h,False,Call / Email
C00181,Edward,Hernandez,ehernandez@delphilabs.com,Individual Contributor of Something,,Individual Contributor,,+1-555-1908,ACC0013,Healthcare,7500.0,,,2024-01-01,,,False,,False,False,False,False,,False,False,,,,,,Contact,Converted Contact,L00173,63.0,True,C00181,Delphi Labs,delphilabs.com,True,True,False,99.3,Australia,2455.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,14.0,0.0,2026-05-17 00:00:00,2023-04-02 00:00:00,12.0,5.0,0.0,False,9.0,2.0,4.0,1607.6601938044394,757.8582832551991,148.10975522865644,6.004098376443533e-08,1.2103503888193328e-06,0.0,2513.6282335586866,True,True,1.0,C1,1.0,99.93,99.93,0.3,0.0,0.15,100.0,99.9,15.0,87.2,0.6,0.25,0.15,High,2 meaningful engagements in last 30d; ICP industry (Healthcare); named account; segment C1,Call Now,0,Priority outreach — call or email within 24h,False,Call / Email
